protocol,port,description
tcp,429,ocs_amu
tcp,430,utmpsd
tcp,431,utmpcd
tcp,432,iasd
tcp,433,nnsp
tcp,434,mobileip-agent
tcp,435,mobilip-mn
tcp,436,dna-cml
tcp,437,comscm
tcp,438,dsfgw
tcp,439,dasp
tcp,440,sgcp
tcp,441,decvms-sysmgt
tcp,442,cvc_hostd
tcp,443,http protocol over tls/ssl
tcp,444,simple network paging protocol
tcp,445,microsoft-ds
tcp,446,ddm-rdb
tcp,447,ddm-rfm
tcp,448,ddm-ssl
tcp,449,as server mapper
tcp,450,tserver
tcp,451,cray network semaphore server
tcp,452,cray sfs config server
tcp,453,creativeserver
tcp,454,contentserver
tcp,455,creativepartnr
tcp,456,macon-tcp
tcp,457,scohelp
tcp,458,apple quick time
tcp,459,ampr-rcmd
tcp,460,skronk
tcp,461,datarampsrv
tcp,462,datarampsrvsec
tcp,463,alpes
tcp,464,kpasswd
tcp,465,smtps
tcp,466,digital-vrc
tcp,467,mylex-mapd
tcp,468,proturis
tcp,469,radio control protocol
tcp,470,scx-proxy
tcp,471,mondex
tcp,472,ljk-login
tcp,473,hybrid-pop
tcp,474,tn-tl-w1
tcp,475,tcpnethaspsrv
tcp,476,tn-tl-fd1
tcp,477,ss7ns
tcp,478,spsc
tcp,479,iafserver
tcp,480,iafdbase
tcp,481,ph service
tcp,482,bgs-nsi
tcp,483,ulpnet
tcp,484,integra software management environment
tcp,485,air soft power burst
tcp,486,avian
tcp,487,saft simple asynchronous file transfer
tcp,488,gss-http
tcp,489,nest-protocol
tcp,490,micom-pfs
tcp,491,go-login
tcp,492,transport independent convergence for fna
tcp,493,transport independent convergence for fna
tcp,494,pov-ray
tcp,495,intecourier
tcp,496,pim-rp-disc
tcp,497,dantz
tcp,498,siam
tcp,499,iso ill protocol
tcp,500,isakmp
tcp,501,stmf
tcp,502,asa-appl-proto
tcp,503,intrinsa
tcp,504,citadel
tcp,505,mailbox-lm
tcp,506,ohimsrv
tcp,507,crs
tcp,508,xvttp
tcp,509,snare
tcp,510,firstclass protocol
tcp,511,passgo
tcp,512,remote process execution
tcp,513,remote login
tcp,514,remote shell
tcp,515,spooler
tcp,516,videotex
tcp,517,like tenex link but across
tcp,518,talkd
tcp,519,unixtime
tcp,520,extended file name server
tcp,521,ripng
tcp,522,user location service / ulp
tcp,523,ibm-db2
tcp,524,ncp
tcp,525,timeserver
tcp,526,newdate
tcp,527,stock ixchange
tcp,528,customer ixchange
tcp,529,irc-serv
tcp,530,rpc
tcp,531,chat
tcp,532,readnews
tcp,533,for emergency broadcasts
tcp,534,megamedia admin
tcp,535,iiop
tcp,536,opalis-rdv
tcp,537,networked media streaming protocol
tcp,538,gdomap
tcp,539,apertus technologies load determination
tcp,540,uucpd
tcp,541,uucp-rlogin
tcp,542,commerce
tcp,543,kerberos (v4/v5)
tcp,544,krcmd
tcp,545,appleqtcsrvr
tcp,546,dhcpv6 client
tcp,547,dhcpv6 server
tcp,548,appleshare afp over tcp
tcp,549,idfp
tcp,550,new-who
tcp,551,cybercash
tcp,552,deviceshare
tcp,553,pirp
tcp,554,real time stream control protocol
tcp,555,"phase zero backdoor (win 9x, nt) / dsf"
tcp,556,rfs server
tcp,557,openvms-sysipc
tcp,558,sdnskmp
tcp,559,teedtap / backdoor.domwis win32 trojan
tcp,560,rmonitord
tcp,561,monitor
tcp,562,chcmd
tcp,563,aol im / nntp protocol over tls/ssl
tcp,564,plan 9 file service
tcp,565,whoami
tcp,566,streettalk
tcp,567,banyan-rpc
tcp,568,microsoft shuttle
tcp,569,microsoft rome
tcp,570,demon
tcp,571,udemon
tcp,572,sonar
tcp,573,banyan-vip
tcp,574,ftp software agent system
tcp,575,vemmi
tcp,576,ipcd
tcp,577,vnas
tcp,578,ipdd
tcp,579,decbsrv
tcp,580,sntp heartbeat
tcp,581,bundle discovery protocol
tcp,582,scc security
tcp,583,philips video-conferencing
tcp,584,key server
tcp,585,imap4+ssl
tcp,586,password change
tcp,587,message submission (sendmail)
tcp,588,cal
tcp,589,eyelink
tcp,590,tns cml
tcp,591,filemaker inc. - http alternate
tcp,592,eudora set
tcp,593,http rpc ep map
tcp,594,tpip
tcp,595,cab protocol
tcp,596,smsd
tcp,597,ptc name service
tcp,598,sco web server manager 3
tcp,599,aeolon core protocol
tcp,600,sun ipc server
tcp,606,cray unified resource manager
tcp,607,nqs
tcp,608,sender-initiated/unsolicited file transfer
tcp,609,npmp-trap
tcp,610,apple admin service / npmp-local
tcp,611,npmp-gui
tcp,612,hmmp indication
tcp,613,hmmp operation
tcp,614,sslshell
tcp,615,internet configuration manager
tcp,616,sco system administration server
tcp,617,sco desktop administration server
tcp,618,dei-icda
tcp,619,digital evm
tcp,620,sco webserver manager
tcp,621,escp
tcp,622,collaborator
tcp,623,aux bus shunt
tcp,624,crypto admin
tcp,625,dec dlm
tcp,626,asia
tcp,627,passgo tivoli
tcp,628,qmqp
tcp,629,3com amp3
tcp,630,rda
tcp,631,ipp (internet printing protocol)
tcp,632,bmpp
tcp,633,service status update (sterling software)
tcp,634,ginad
tcp,635,rlz dbase
tcp,636,ldap protocol over tls/ssl
tcp,637,lanserver
tcp,638,mcns-sec
tcp,639,msdp
tcp,640,entrust-sps
tcp,641,repcmd
tcp,642,esro-emsdp v1.3
tcp,643,sanity
tcp,644,dwr
tcp,645,pssc
tcp,646,ldp
tcp,647,dhcp failover
tcp,648,registry registrar protocol (rrp)
tcp,649,aminet
tcp,650,obex
tcp,651,ieee mms
tcp,652,udlr_dtcp
tcp,653,repcmd
tcp,654,aodv
tcp,655,tinc
tcp,656,spmp
tcp,657,rmc
tcp,658,tenfold
tcp,659,url rendezvous
tcp,660,macos server admin
tcp,661,hap
tcp,662,pftp
tcp,663,purenoise
tcp,664,secure aux bus
tcp,665,sun dr
tcp,666,doom id software
tcp,667,campaign contribution disclosures - sdr technologies
tcp,668,mecomm
tcp,669,meregister
tcp,670,vacdsm-sws
tcp,671,vacdsm-app
tcp,672,vpps-qua
tcp,673,cimplex
tcp,674,acap
tcp,675,dctp
tcp,676,vpps via
tcp,677,virtual presence protocol
tcp,678,gnu gereration foundation ncp
tcp,679,mrm
tcp,680,entrust-aaas
tcp,681,entrust-aams
tcp,682,xfr
tcp,683,corba iiop
tcp,684,corba iiop ssl
tcp,685,mdc port mapper
tcp,686,hardware control protocol wismar
tcp,687,asipregistry
tcp,688,realm-rusd
tcp,689,nmap
tcp,690,vatp
tcp,691,ms exchange routing
tcp,692,hyperwave-isp
tcp,693,connendp
tcp,694,ha-cluster
tcp,695,ieee-mms-ssl
tcp,696,rushd
tcp,697,uuidgen
tcp,698,olsr
tcp,704,errlog copy/server daemon
tcp,705,agentx
tcp,706,silc
tcp,707,w32.nachi worm / borland dsj
tcp,709,entrust key management service handler
tcp,710,entrust administration service handler
tcp,711,cisco tdp
tcp,729,ibm netview dm/6000 server/client
tcp,730,ibm netview dm/6000 send/tcp
tcp,731,ibm netview dm/6000 receive/tcp
tcp,740,(old) netscout control protocol (old)
tcp,741,netgw
tcp,742,network based rev. cont. sys.
tcp,744,flexible license manager
tcp,747,fujitsu device control
tcp,748,russell info sci calendar manager
tcp,749,kerberos administration
tcp,750,rfile
tcp,751,pump
tcp,752,kerberos password server
tcp,753,kerberos userreg server
tcp,754,send
tcp,758,nlogin
tcp,759,con
tcp,760,"kreg, kerberos/4 registration"
tcp,761,"kpwd, kerberos/4 password"
tcp,762,quotad
tcp,763,cycleserv
tcp,764,omserv
tcp,765,webster
tcp,767,phone
tcp,769,vid
tcp,770,cadlock
tcp,771,rtip
tcp,772,cycleserv2
tcp,773,submit
tcp,774,rpasswd
tcp,775,entomb
tcp,776,wpages
tcp,777,multiling http
tcp,780,wpgs
tcp,781,hp performance data collector
tcp,782,node hp performance data managed node
tcp,783,hp performance data alarm manager
tcp,786,concert
tcp,787,qsc
tcp,799,controlit / remotely possible
tcp,800,mdbs_daemon / remotely possible
tcp,801,device
tcp,808,ccproxy
tcp,810,fcp
tcp,828,itm-mcell-s
tcp,829,pkix-3 ca/ra
tcp,871,sup server
tcp,873,rsync
tcp,886,icl conetion locate server
tcp,887,icl conetion server info
tcp,888,cd database protocol
tcp,900,check point firewall-1 http administration / omg initial refs
tcp,901,samba web administration tool / realsecure / smpnameres/ netdevil trojan
tcp,902,vmware authentication daemon / ideafarm-chat
tcp,903,ideafarm-catch / netdevil trojan
tcp,911,xact-backup
tcp,912,vmware authentication daemon
tcp,989,ftp protocol data over tls/ssl
tcp,990,ftp protocol control over tls/ssl
tcp,991,netnews administration system
tcp,992,telnet protocol over tls/ssl
tcp,993,imap4 protocol over tls/ssl
tcp,994,irc protocol over tls/ssl
tcp,995,pop3 protocol over tls/ssl
tcp,996,vsinet
tcp,997,maitrd
tcp,998,busboy
tcp,999,puprouter
tcp,1000,cadlock
tcp,1002,microsoft site server internet locator service (netmeeting/icf)
tcp,1008,ufs-aware server
tcp,1010,surf
tcp,1011,doly (windows trojan)
tcp,1015,doly (windows trojan)
tcp,1023,reserved
tcp,1024,reserved
tcp,1025,mstask / network blackjack
tcp,1026,mstask / remote login network terminal
tcp,1030,bbn iad
tcp,1031,inetinfo / bbn iad
tcp,1032,bbn iad
tcp,1042,w32.mydoom.l virus
tcp,1047,sun's neo object request broker
tcp,1048,sun's neo object request broker
tcp,1049,tobit david postman vpmn
tcp,1050,corba management agent
tcp,1051,optima vnet
tcp,1052,dynamic dns tools
tcp,1053,remote assistant (ra)
tcp,1054,brvread
tcp,1055,ansys - license manager
tcp,1056,vfo
tcp,1057,startron
tcp,1058,nim
tcp,1059,nimreg
tcp,1060,polestar
tcp,1061,kiosk
tcp,1062,veracity
tcp,1063,kyoceranetdev
tcp,1064,jstel
tcp,1065,syscomlan
tcp,1066,fpo-fns
tcp,1067,installation bootstrap proto. serv.
tcp,1068,installation bootstrap proto. cli.
tcp,1069,cognex-insight
tcp,1070,gmrupdateserv
tcp,1071,bsquare-voip
tcp,1072,cardax
tcp,1073,bridgecontrol
tcp,1074,fastechnologies license manager
tcp,1075,rdrmshc
tcp,1076,dab sti-c
tcp,1077,imgames
tcp,1078,emanagecstp
tcp,1079,asprovatalk
tcp,1080,socks / w32.beagle.ab trojan
tcp,1081,pvuniwien
tcp,1082,amt-esd-prot
tcp,1083,anasoft license manager
tcp,1084,anasoft license manager
tcp,1085,web objects
tcp,1086,cpl scrambler logging
tcp,1087,cpl scrambler internal
tcp,1088,cpl scrambler alarm log
tcp,1089,ff annunciation
tcp,1090,ff fieldbus message specification
tcp,1091,ff system management
tcp,1092,obrpd
tcp,1093,proofd
tcp,1094,rootd
tcp,1095,nicelink
tcp,1096,common name resolution protocol
tcp,1097,sun cluster manager
tcp,1098,rmi activation
tcp,1099,rmi registry
tcp,1100,mctp
tcp,1101,pt2-discover
tcp,1102,adobe server 1
tcp,1103,adobe server 2
tcp,1104,xrl
tcp,1105,ftranhc
tcp,1106,isoipsigport-1
tcp,1107,isoipsigport-2
tcp,1108,ratio-adp
tcp,1109,pop with kerberos
tcp,1110,cluster status info
tcp,1111,lm social server
tcp,1112,intelligent communication protocol
tcp,1114,mini sql
tcp,1115,ardus transfer
tcp,1116,ardus control
tcp,1117,ardus multicast transfer
tcp,1123,murray
tcp,1127,sup debugging
tcp,1155,network file access
tcp,1161,health polling
tcp,1162,health trap
tcp,1169,tripwire
tcp,1178,skk (kanji input)
tcp,1180,millicent client proxy
tcp,1188,hp web admin
tcp,1200,scol
tcp,1201,nucleus sand
tcp,1202,caiccipc
tcp,1203,license validation
tcp,1204,log request listener
tcp,1205,accord-mgc
tcp,1206,anthony data
tcp,1207,metasage
tcp,1208,seagull ais
tcp,1209,ipcd3
tcp,1210,eoss
tcp,1211,groove dpp
tcp,1212,lupa
tcp,1213,mpc lifenet
tcp,1214,kazaa (morpheus)
tcp,1215,scanstat 1.0
tcp,1216,etebac 5
tcp,1217,hpss-ndapi
tcp,1218,aeroflight-ads
tcp,1219,aeroflight-ret
tcp,1220,qt server admin
tcp,1221,sweetware apps
tcp,1222,sni r&d network
tcp,1223,tgp
tcp,1224,vpnz
tcp,1225,slinkysearch
tcp,1226,stgxfws
tcp,1227,dns2go
tcp,1228,florence
tcp,1229,novell zfs
tcp,1234,w32.beagle.y trojan / infoseek search agent
tcp,1239,nmsd
tcp,1241,nessus daemon / remote message service
tcp,1243,subseven (windows trojan)
tcp,1245,subseven backdoor remote access tool
tcp,1248,hermes
tcp,1270,microsoft operations manager mom-encrypted
tcp,1300,h323 host call secure
tcp,1310,husky
tcp,1311,rxmon
tcp,1312,sti envision
tcp,1313,bmc_patroldb
tcp,1314,photoscript distributed printing system
tcp,1319,panja-icsp
tcp,1320,panja-axbnet
tcp,1321,pip
tcp,1335,digital notary protocol
tcp,1345,vpjp
tcp,1346,alta analytics license manager
tcp,1347,multi media conferencing
tcp,1348,multi media conferencing
tcp,1349,registration network protocol
tcp,1350,registration network protocol
tcp,1351,digital tool works (mit)
tcp,1352,lotus notes
tcp,1353,relief consulting
tcp,1354,rightbrain software
tcp,1355,intuitive edge
tcp,1356,cuillamartin company
tcp,1357,electronic pegboard
tcp,1358,connlcli
tcp,1359,ftsrv
tcp,1360,mimer
tcp,1361,linx
tcp,1362,timeflies
tcp,1363,network datamover requester
tcp,1364,network datamover server
tcp,1365,network software associates
tcp,1366,novell netware comm service platform
tcp,1367,dcs
tcp,1368,screencast
tcp,1369,globalview to unix shell
tcp,1370,unix shell to globalview
tcp,1371,fujitsu config protocol
tcp,1372,fujitsu config protocol
tcp,1373,chromagrafx
tcp,1374,epi software systems
tcp,1375,bytex
tcp,1376,ibm person to person software
tcp,1377,cichlid license manager
tcp,1378,elan license manager
tcp,1379,integrity solutions
tcp,1380,telesis network license manager
tcp,1381,apple network license manager
tcp,1382,udt_os
tcp,1383,gw hannaway network license manager
tcp,1384,objective solutions license manager
tcp,1385,atex publishing license manager
tcp,1386,checksum license manager
tcp,1387,computer aided design software inc lm
tcp,1388,objective solutions database cache
tcp,1389,document manager
tcp,1390,storage controller
tcp,1391,storage access server
tcp,1392,print manager
tcp,1393,network log server
tcp,1394,network log client
tcp,1395,pc workstation manager software
tcp,1396,dvl active mail
tcp,1397,audio active mail
tcp,1398,video active mail
tcp,1399,cadkey license manager
tcp,1400,cadkey tablet daemon
tcp,1401,goldleaf license manager
tcp,1402,prospero resource manager
tcp,1403,prospero resource manager
tcp,1404,infinite graphics license manager
tcp,1405,ibm remote execution starter
tcp,1406,netlabs license manager
tcp,1407,dbsa license manager
tcp,1408,sophia license manager
tcp,1409,here license manager
tcp,1410,hiq license manager
tcp,1411,audiofile
tcp,1412,innosys
tcp,1413,innosys-acl
tcp,1414,ibm mqseries
tcp,1415,dbstar
tcp,1416,novell lu6.2
tcp,1417,timbuktu service 1 port
tcp,1418,timbuktu service 2 port
tcp,1419,timbuktu service 3 port
tcp,1420,timbuktu service 4 port
tcp,1421,gandalf license manager
tcp,1422,autodesk license manager
tcp,1423,essbase arbor software
tcp,1424,hybrid encryption protocol
tcp,1425,zion software license manager
tcp,1426,satellite-data acquisition system 1
tcp,1427,mloadd monitoring tool
tcp,1428,informatik license manager
tcp,1429,hypercom nms
tcp,1430,hypercom tpdu
tcp,1431,reverse gossip transport
tcp,1432,blueberry software license manager
tcp,1433,microsoft-sql-server
tcp,1434,microsoft-sql-monitor
tcp,1435,ibm cics
tcp,1436,satellite-data acquisition system 2
tcp,1437,tabula
tcp,1438,eicon security agent/server
tcp,1439,eicon x25/sna gateway
tcp,1440,eicon service location protocol
tcp,1441,cadis license management
tcp,1442,cadis license management
tcp,1443,integrated engineering software
tcp,1444,marcam license management
tcp,1445,proxima license manager
tcp,1446,optical research associates license manager
tcp,1447,applied parallel research lm
tcp,1448,openconnect license manager
tcp,1449,peport
tcp,1450,tandem distributed workbench facility
tcp,1451,ibm information management
tcp,1452,gte government systems license man
tcp,1453,genie license manager
tcp,1454,interhdl license manager
tcp,1455,esl license manager
tcp,1456,dca
tcp,1457,valisys license manager
tcp,1458,nichols research corp.
tcp,1459,proshare notebook application
tcp,1460,proshare notebook application
tcp,1461,ibm wireless lan
tcp,1462,world license manager
tcp,1463,nucleus
tcp,1464,msl license manager
tcp,1465,pipes platform
tcp,1466,ocean software license manager
tcp,1467,csdmbase
tcp,1468,csdm
tcp,1469,active analysis limited license manager
tcp,1470,universal analytics
tcp,1471,csdmbase
tcp,1472,csdm
tcp,1473,openmath
tcp,1474,telefinder
tcp,1475,taligent license manager
tcp,1476,clvm-cfg
tcp,1477,ms-sna-server
tcp,1478,ms-sna-base
tcp,1479,dberegister
tcp,1480,pacerforum
tcp,1481,airs
tcp,1482,miteksys license manager
tcp,1483,afs license manager
tcp,1484,confluent license manager
tcp,1485,lansource
tcp,1486,nms_topo_serv
tcp,1487,localinfosrvr
tcp,1488,docstor
tcp,1489,dmdocbroker
tcp,1490,insitu-conf
tcp,1491,anynetgateway
tcp,1492,stone-design-1
tcp,1493,netmap_lm
tcp,1494,citrix/ica
tcp,1495,cvc
tcp,1496,liberty-lm
tcp,1497,rfx-lm
tcp,1498,sybase sql any
tcp,1499,federico heinz consultora
tcp,1500,vlsi license manager
tcp,1501,satellite-data acquisition system 3
tcp,1502,shiva
tcp,1503,ms netmeeting / t.120 / databeam
tcp,1504,evb software engineering license manager
tcp,1505,funk software inc.
tcp,1506,universal time daemon (utcd)
tcp,1507,symplex
tcp,1508,diagmond
tcp,1509,robcad ltd. license manager
tcp,1510,midland valley exploration ltd. lic. man.
tcp,1511,3l-l1
tcp,1512,microsoft's windows internet name service
tcp,1513,fujitsu systems business of america inc
tcp,1514,fujitsu systems business of america inc
tcp,1515,ifor-protocol
tcp,1516,virtual places audio data
tcp,1517,virtual places audio control
tcp,1518,virtual places video data
tcp,1519,virtual places video control
tcp,1520,atm zip office
tcp,1521,oracle8i listener / ncube license manager
tcp,1522,ricardo north america license manager
tcp,1523,cichild
tcp,1524,dtspcd / ingres
tcp,1525,oracle / prospero directory service non-priv
tcp,1526,prospero data access prot non-priv
tcp,1527,oracle
tcp,1528,micautoreg
tcp,1529,oracle
tcp,1530,oracle extproc (plsextproc) / rap-service
tcp,1531,rap-listen
tcp,1532,miroconnect
tcp,1533,virtual places software
tcp,1534,micromuse-lm
tcp,1535,ampr-info
tcp,1536,ampr-inter
tcp,1537,isi-lm
tcp,1538,3ds-lm
tcp,1539,intellistor license manager
tcp,1540,rds
tcp,1541,rds2
